,t,hexbug,x,y
0,0,0,35.5190839694655,37.59389312977112
1,1,0,51.842748091602914,35.780152671755786
2,2,0,26.45038167938918,72.05496183206117
3,3,0,37.33282442748077,117.39847328244286
4,4,0,44.58778625954184,233.47786259542
5,5,0,79.04885496183192,295.145038167939
6,6,0,51.842748091602914,349.5572519083971
7,7,0,95.37251908396934,423.9206106870229
8,8,0,191.5007633587785,469.2641221374047
9,9,0,265.8641221374044,527.3038167938932
10,10,0,336.59999999999985,605.2946564885497
11,11,0,425.473282442748,683.2854961832061
12,12,0,498.0229007633586,788.4824427480917
13,13,0,566.9450381679388,899.1206106870229
14,14,0,641.3083969465647,1026.0824427480916
15,15,0,624.9847328244274,1004.3175572519085
16,16,0,619.5435114503815,1031.5236641221375
17,17,0,710.2305343511449,997.0625954198474
18,18,0,800.9175572519083,977.1114503816796
19,19,0,895.2320610687023,991.6213740458015
20,20,0,1011.3114503816792,1017.0137404580153
21,21,0,1120.1358778625952,958.9740458015267
22,22,0,1218.0778625954197,882.7969465648855
23,23,0,1292.4412213740457,835.6396946564887
24,24,0,1337.7847328244272,830.1984732824428
25,25,0,1312.3923664122135,844.708396946565
26,26,0,1355.92213740458,864.6595419847329
27,27,0,1355.92213740458,861.0320610687024
28,28,0,1355.92213740458,861.0320610687024
29,29,0,1352.2946564885494,819.3160305343513
30,30,0,1350.4809160305342,775.7862595419849
31,31,0,1350.4809160305342,775.7862595419849
32,32,0,1339.5984732824427,668.7755725190841
33,33,0,1341.412213740458,598.0396946564886
34,34,0,1339.5984732824427,514.6076335877863
35,35,0,1343.2259541984731,409.4106870229009
36,36,0,1354.1083969465647,296.9587786259542
37,37,0,1335.970992366412,211.7129770992367
38,38,0,1345.0396946564883,95.63358778625957
39,39,0,1301.509923664122,44.8488549618321
40,40,0,1183.6167938931296,70.24122137404584
41,41,0,1083.86106870229,73.86870229007638
42,42,0,1014.9389312977098,62.98625954198485
43,43,0,931.5068702290075,93.81984732824435
44,44,0,833.564885496183,142.7908396946566
45,45,0,739.2503816793892,195.38931297709928
46,46,0,619.5435114503815,257.0564885496185
47,47,0,505.2778625954197,277.00763358778636
48,48,0,380.1297709923663,282.44885496183224
49,49,0,258.6091603053434,277.00763358778636
50,50,0,258.6091603053434,199.01679389312983
51,51,0,307.58015267175557,84.75114503816803
52,52,0,356.5511450381678,72.05496183206117
53,53,0,358.3648854961831,188.1343511450383
54,54,0,349.2961832061067,284.26259541984746
55,55,0,361.9923664122136,365.88091603053454
56,56,0,441.7969465648854,463.8229007633588
57,57,0,514.346564885496,569.0198473282444
58,58,0,577.8274809160304,654.2656488549619
59,59,0,628.6122137404578,764.9038167938932
60,60,0,668.5145038167938,864.6595419847329
61,61,0,731.9954198473281,960.7877862595421
62,62,0,790.0351145038167,1013.3862595419848
63,63,0,884.3496183206106,935.3954198473284
64,64,0,975.0366412213739,871.914503816794
65,65,0,1007.6839694656487,951.7190839694658
66,66,0,1053.0274809160303,1017.0137404580153
67,67,0,1085.6748091603051,948.0916030534352
68,68,0,1178.1755725190837,880.9832061068703
69,69,0,1234.401526717557,817.5022900763361
70,70,0,1312.3923664122135,775.7862595419849
71,71,0,1308.764885496183,701.4229007633589
72,72,0,1227.146564885496,632.5007633587786
73,73,0,1212.636641221374,530.9312977099237
74,74,0,1174.5480916030533,405.78320610687024
75,75,0,1169.1068702290074,269.75267175572526
76,76,0,1178.1755725190837,146.41832061068715
77,77,0,1194.4992366412212,33.96641221374057
78,78,0,1116.5083969465647,139.16335877862605
79,79,0,1082.0473282442747,213.52671755725203
80,80,0,1140.0870229007633,242.5465648854963
81,81,0,1234.401526717557,291.51755725190856
82,82,0,1314.206106870229,349.5572519083971
83,83,0,1314.206106870229,432.9893129770994
84,84,0,1236.2152671755723,514.6076335877863
85,85,0,1167.2931297709922,623.4320610687023
86,86,0,1092.9297709923662,699.6091603053435
87,87,0,1103.812213740458,588.9709923664122
88,88,0,1091.116030534351,509.1664122137406
89,89,0,1040.3312977099235,411.2244274809161
90,90,0,985.9190839694654,449.31297709923683
91,91,0,980.4778625954198,552.696183206107
92,92,0,960.5267175572517,627.059541984733
93,93,0,940.5755725190838,710.4916030534353
94,94,0,851.7022900763358,768.5312977099238
95,95,0,746.5053435114503,819.3160305343513
96,96,0,668.5145038167938,864.6595419847329
97,97,0,581.4549618320609,919.071755725191
98,98,0,467.1893129770991,940.8366412213741
99,99,0,334.7862595419846,951.7190839694658
