Unnamed: 0,t,hexbug,x,y
0,0,0,742.0825688073395,990.3302752293578
1,1,0,806.7274875047245,1012.0552865495132
2,2,0,881.7702507282221,1011.373079611118
3,3,0,949.3087376293698,1002.5043894119772
4,4,0,1029.1269494216356,1004.5510102271636
5,5,0,1095.580204778157,993.5098976109216
6,6,0,1095.983229384388,949.9744551555292
7,7,0,1123.9537138586006,897.4445208990808
8,8,0,1107.641638225256,848.7726962457339
9,9,0,1093.1679180887377,781.2286689419795
10,10,0,1050.2753645118942,719.3885099778729
11,11,0,1013.562457337884,663.0266211604091
12,12,0,967.7290102389076,609.9563139931738
13,13,0,909.8341296928328,532.7631399317402
14,14,0,849.5269624573377,588.2457337883955
15,15,0,789.6723140448389,672.9984381669834
16,16,0,721.6757679180886,701.623208191126
17,17,0,637.5401667826571,733.0326487457816
18,18,0,553.6287133600188,733.0326487457817
19,19,0,492.91229584282496,677.0916797973562
20,20,0,497.3331058020476,617.1931740614332
21,21,0,548.1710578528553,524.9595325351747
22,22,0,585.692439464604,445.1413207429091
23,23,0,640.2689945362387,376.2384199649704
24,24,0,673.4300341296927,318.0696245733785
25,25,0,714.6295508213409,242.52586003946573
26,26,0,786.9434862912567,191.36033965980832
27,27,0,866.0794911451267,175.66958007671337
28,28,0,934.9823919230656,180.4450286454814
29,29,0,1006.3255972696252,192.6307167235487
30,30,0,1094.6188155075963,207.0510992429032
31,31,0,1123.2715069202045,224.78847964118444
32,32,0,1126.682541612182,305.28889837184533
33,33,0,1091.8899877540148,397.3868350552287
34,34,0,1054.368606142266,456.0566317572358
35,35,0,1023.2116040955636,506.2279863481221
36,36,0,989.4395904436864,561.7105802047776
37,37,0,931.5447098976114,607.5440273037536
38,38,0,890.5358361774748,655.7897610921495
39,39,0,825.4040955631402,711.2723549488048
40,40,0,744.6466561107386,729.6216140538046
41,41,0,663.7808873720139,747.4566552901018
42,42,0,581.7631399317409,749.8689419795215
43,43,0,504.5699658703073,735.3952218430028
44,44,0,506.9822525597272,682.3249146757673
45,45,0,490.8656750276375,602.7311235122539
46,46,0,465.9733788395906,515.8771331058014
47,47,0,462.8951905534244,433.5438027901866
48,48,0,463.5610921501708,342.192491467576
49,49,0,458.7365187713313,250.5255972696238
50,50,0,474.4927085061465,149.06350947929087
51,51,0,520.2005733786408,84.25385033172476
52,52,0,566.5906451895305,99.94460991481968
53,53,0,636.1757529058647,108.13109317556489
54,54,0,724.0880546075089,137.1481228668934
55,55,0,786.8075085324235,197.4552901023883
56,56,0,815.7549488054611,272.2361774744019
57,57,0,798.5410042439776,355.77221181310705
58,58,0,740.5534144803655,404.8911113775784
59,59,0,726.5003412969287,453.15767918088665
60,60,0,692.7283276450515,535.1754266211598
61,61,0,684.6124455319397,612.9642275881852
62,62,0,625.2604418915369,672.3162312285879
63,63,0,574.0949215118795,721.435130793059
64,64,0,526.2805460750856,776.4040955631393
65,65,0,475.6225255972695,839.1235494880536
66,66,0,412.9030716723548,923.5535836177468
67,67,0,374.3064846416381,986.2730375426612
68,68,0,304.3501706484641,1017.6327645051184
69,69,0,210.27098976109207,979.036177474402
70,70,0,113.77952218430023,969.3870307167226
71,71,0,58.29692832764496,966.9747440273028
72,72,0,99.27889238865777,906.3132110982216
73,73,0,107.46537564940309,830.5882409363285
74,74,0,89.04578831272633,748.7234083288765
75,75,0,73.35502872963133,659.3542993990748
76,76,0,55.88464163822516,590.6580204778147
77,77,0,66.53295934567683,521.5484978431974
78,78,0,113.77952218430023,472.4559726962448
79,79,0,124.52054910928868,411.7131807615326
80,80,0,65.16854546888592,363.2764881354569
81,81,0,78.81268423679464,296.42020817270435
82,82,0,133.0778156996586,245.7010238907841
83,83,0,187.9657943800639,187.94930496783047
84,84,0,248.0000049588621,144.28806091052272
85,85,0,301.93788395904426,105.78839590443602
86,86,0,386.3679180887372,139.56040955631312
87,87,0,461.14880546075074,214.3412969283268
88,88,0,482.85938566552886,289.12218430034045
89,89,0,497.3331058020477,371.1399317406135
90,90,0,480.4470989761092,441.0962457337875
91,91,0,456.3242320819112,518.289419795221
92,92,0,439.4382252559726,566.5351535836169
93,93,0,449.0873720136518,571.3597269624565
94,94,0,499.7453924914674,583.4211604095553
95,95,0,528.692832764505,655.7897610921493
96,96,0,528.692832764505,737.8075085324224
97,97,0,533.5174061433446,810.1761092150161
98,98,0,552.815699658703,860.8341296928318
99,99,0,565.2201834862386,935.3394495412844
100,100,0,580.0825688073395,1015.5963302752292
