Unnamed: 0,t,hexbug,x,y
0,0,0,36.56055045871574,300.15871559633035
1,1,0,73.61332667675512,235.09098421144483
2,2,0,81.64026622296183,137.57504159733782
3,3,0,105.29767334760506,40.98627425989919
4,4,0,208.03264068344453,81.15332915812216
5,5,0,269.00798205631577,112.49041613015184
6,6,0,354.0244363712165,123.63771414662725
7,7,0,450.03538336385,125.89985326404329
8,8,0,560.2668144063227,149.12834513973027
9,9,0,667.6364419227264,152.21811859343973
10,10,0,796.6344836150962,145.26612832259343
11,11,0,785.8202765271132,217.87580448476572
12,12,0,691.5821861889747,279.6712735589549
13,13,0,647.5529144736148,332.9698656354431
14,14,0,598.8889825776907,370.819590443384
15,15,0,538.6384002303564,420.2559657027353
16,16,0,620.5173967536566,510.6318392237369
17,17,0,743.3358915386075,557.7508843928061
18,18,0,838.3464252401731,599.4628260178838
19,19,0,951.8955996639954,639.6298809161067
20,20,0,1083.210971446647,656.6236349115084
21,21,0,1105.6118289860403,654.3063048212264
22,22,0,1073.9416510855183,679.7969358143293
23,23,0,1087.0731882637838,719.9639907125522
24,24,0,995.924871379355,773.2625827890402
25,25,0,1014.4635121016116,855.1415793123406
26,26,0,1055.4030103632613,957.1041032847522
27,27,0,1121.8331396180145,981.8222909144278
28,28,0,1124.150469708297,994.1813847292656
29,29,0,1047.7131527601532,1013.7961549152828
30,30,0,977.3862306570984,1006.540478544103
31,31,0,910.9561014023454,1005.7680351806756
32,32,0,829.8495482424723,1004.9955918172484
33,33,0,732.5216844506251,978.732517460718
34,34,0,652.1875746541798,987.2293944584188
35,35,0,584.212558672572,998.043601546402
36,36,0,500.0162320589897,1015.037355541804
37,37,0,433.5861028042368,1008.0853652709576
38,38,0,350.93466291750923,974.870300643581
39,39,0,271.3729964844911,936.248132472213
40,40,0,225.0263946788495,982.5947342778546
41,41,0,155.50649197038706,1012.7200254515216
42,42,0,87.53147598877935,908.440171388828
43,43,0,42.72976090999221,818.8367412312543
44,44,0,74.39993881051402,745.454621705655
45,45,0,58.17862817853944,651.216531367517
46,46,0,55.08885472482987,621.0912401938499
47,47,0,91.39369280591586,593.283279110465
48,48,0,96.02835298648004,522.2184896751477
49,49,0,83.66925917164214,451.15370023983047
50,50,0,51.99908127112021,335.2871957257263
51,51,0,47.36442109055622,233.3246717533144
52,52,0,48.13686445398358,107.41640351465443
53,53,0,61.268401632248725,37.12405744276449
54,54,0,147.78205833611327,47.93826453074755
55,55,0,242.7925920376788,44.848491077038105
56,56,0,328.533805378116,71.11156543356842
57,57,0,405.77814172085226,48.7107078941749
58,58,0,454.442073616776,106.64396015122703
59,59,0,534.0037400497944,163.8047690448518
60,60,0,629.7867171147873,196.247390308801
61,61,0,745.6532216288915,234.86955848016908
62,62,0,829.0771048790466,257.27041601956256
63,63,0,875.4237066846883,305.93434791548634
64,64,0,956.5302598445614,331.4249789085896
65,65,0,1038.409256367862,329.8800921817348
66,66,0,1117.97092280088,281.216160285811
67,67,0,1106.3842723494697,220.19313457504936
68,68,0,1108.7016024397517,134.45192123461217
69,69,0,1126.4677997985812,64.15957516272213
70,70,0,1098.6598387151962,85.01554597526093
71,71,0,1030.684822733588,64.9320185261495
72,72,0,961.1649200251256,74.20133888727786
73,73,0,880.8308102286799,79.6084424312694
74,74,0,805.9038039762256,95.05730969981666
75,75,0,749.5154384460282,76.51866897755994
76,76,0,668.408885286155,54.11781143816642
77,77,0,583.4401153091454,51.80048134788432
78,78,0,493.06424178814393,58.75247161873059
79,79,0,366.3835301860565,95.829753063244
80,80,0,246.6548088548153,193.1576168550917
81,81,0,145.46472824583088,268.8570664709732
82,82,0,67.44794853966728,321.3832151840339
83,83,0,71.31016535680409,397.0826647999154
84,84,0,113.02210698188186,484.3687648672071
85,85,0,115.33943707216396,604.0974861984482
86,86,0,72.85505208365907,706.0600101708599
87,87,0,43.50220427341941,784.0767898770232
88,88,0,101.43545653047153,868.2731164906056
89,89,0,157.0513786972415,963.2836501921712
90,90,0,223.48150795199453,1008.8578086343856
91,91,0,288.36675047989286,989.5467245487014
92,92,0,359.43153991521007,961.7387634653164
93,93,0,437.4483196213736,946.2898961967692
94,94,0,527.6185553527922,917.0566441636367
95,95,0,606.6134162119656,878.3148802151613
96,96,0,686.1750826449838,806.4776474164169
97,97,0,747.9164511238657,824.1484011645321
98,98,0,771.9162959854209,920.026821840239
99,99,0,819.8077845179168,977.9600740972904
100,100,0,880.6642201834862,972.177981651376
